Municipality,Compliance Status,Compliance Details,Compliance Deadlines,Submitted for Pre-adoption review (Y/N),Adopted zoning intended for 3A compliance
Natick,Compliant,-,12/31/2024,No,Yes
Needham,Compliant,-,12/31/2024,Yes,Yes
New Bedford,Compliant,-,12/31/2024,Yes,Yes
Newbury,Compliant,-,12/31/2025,No,Yes
Newburyport,Compliant,-,12/31/2024,Yes,Yes
Newton,Compliant,-,12/31/2023,Yes,Yes
Norfolk,Compliant,-,12/31/2024,No,Yes
North Andover,Compliant,-,12/31/2024,Yes,Yes
North Attleborough,Compliant,-,12/31/2024,Yes,Yes
North Reading,Compliant,-,7/14/2025,Yes,Yes
Northborough,Compliant,-,12/31/2024,No,Yes
Northbridge,Compliant,-,12/31/2024,No,Yes
Norton,Compliant,-,7/14/2025,No,Yes
Norwell,Compliant,-,12/31/2024,Yes,Yes
Norwood,Compliant,-,12/31/2024,Yes,Yes
Paxton,Compliant,,12/31/2025,No,Yes
Peabody,Compliant ,-,12/31/2024,No,Yes
Pembroke,Compliant,-,12/31/2024,No,Yes
Plymouth,Conditional Compliance,-,12/31/2024,No,Yes
Plympton,Compliant ,-,12/31/2025,No,Yes
Princeton,Interim Compliance ,District Compliance Application in review,12/31/2025,No,Yes
Quincy,Compliant,-,12/31/2023,No,Yes
Randolph,Compliant,-,12/31/2024,No,Yes
Raynham,Compliant ,-,7/14/2025,No,Yes
Reading,Compliant,-,12/31/2024,No,Yes
Rehoboth,Noncompliant,-,12/31/2025,Yes,No
Revere,Compliant,-,12/31/2023,No,Yes
Rochester,Compliant,-,12/31/2025,No,Yes
Rockland,Compliant,-,12/31/2024,No,Yes
Rockport,Compliant,-,12/31/2024,No,Yes
Rowley,Interim Compliance ,District Compliance Application in review,7/14/2025,No,Yes
Salem,Compliant ,-,12/31/2024,No,Yes
Salisbury,Compliant,-,12/31/2024,No,Yes
Saugus,Compliant,-,7/14/2025,No,Yes
Scituate,Compliant ,-,12/31/2024,Yes,Yes
Seekonk,Compliant,-,12/31/2024,No,Yes
Sharon,Compliant,-,12/31/2024,No,Yes
Sherborn,Compliant,-,12/31/2025,Yes,Yes
Shirley,Compliant,-,12/31/2024,No,Yes
Shrewsbury,Compliant,-,12/31/2024,Yes,Yes
Somerville,Compliant,-,12/31/2023,No,Yes
Southborough,Compliant ,-,12/31/2024,No,Yes
Sterling,Compliant,-,12/31/2025,Yes,Yes
Stoneham,Compliant,-,12/31/2024,No,Yes
Stoughton,Compliant,-,12/31/2024,No,Yes
Stow,Compliant ,-,12/31/2025,Yes,Yes
Sudbury,Compliant,-,12/31/2024,Yes,Yes
Sutton,Compliant,-,12/31/2025,Yes,Yes
Swampscott,Compliant,-,12/31/2024,Yes,Yes
Taunton,Compliant,-,12/31/2024,No,Yes
Tewksbury,Noncompliant,-,7/14/2025,Yes,No
Topsfield,Compliant ,-,12/31/2025,Yes,Yes
Townsend,Compliant ,-,12/31/2025,Yes,Yes
Tyngsborough,Compliant,-,12/31/2024,Yes,Yes
Upton,Compliant ,-,12/31/2025,No,Yes
Wakefield,Compliant,-,12/31/2024,Yes,Yes
Walpole,Compliant,-,12/31/2024,Yes,Yes
Waltham,Compliant,-,12/31/2024,Yes,Yes
Wareham,Interim Compliance ,District Compliance Application in review,12/31/2024,No,Yes
Watertown,Compliant,-,12/31/2024,No,Yes
Wayland,Compliant,-,12/31/2024,No,Yes
Wellesley,Compliant,-,12/31/2024,Yes,Yes
Wenham,Interim Compliance ,District Compliance Application in review,7/14/2025,No,Yes
West Boylston,Compliant ,-,12/31/2024,No,Yes
West Bridgewater,Interim Compliance ,District Compliance Application in review,12/31/2025,Yes,Yes
West Newbury,Interim Compliance ,District Compliance Application in review,12/31/2025,Yes,Yes
Westborough,Compliant,-,12/31/2024,Yes,Yes
Westford,Compliant,-,12/31/2024,Yes,Yes
Westminster,Compliant,-,12/31/2025,Yes,Yes
Weston,Compliant ,-,7/14/2025,No,Yes
Westwood,Compliant,-,12/31/2024,No,Yes
Weymouth,Compliant ,-,12/31/2024,No,Yes
Whitman,Compliant ,-,12/31/2024,No,Yes
Wilmington,Noncompliant,-,7/14/2025,Yes,No
Winchester,Compliant,-,12/31/2024,No,Yes
Winthrop,Noncompliant,-,7/14/2025,Yes,No
Woburn,Interim Compliance ,District Compliance Application in review,12/31/2024,No,Yes
Worcester,Compliant,-,12/31/2024,No,Yes
Wrentham,Compliant,-,7/14/2025,Yes,Yes
